C1,banner_pos,C14,C15,C16,C17,C18,C19,C20,C21
,,23161,,,2331,,,100168,
,,463,,,1092,,,100088,
,,9438,,,2496,,,100179,
,,22259,,,2371,,,100073,
,,21759,,,2671,,,100166,
,,23456,,,2325,,,100039,
,,21667,,,2158,,,100065,
,,17017,,,2602,,,100150,
,,22685,,,2351,,,100002,
,,22811,,,479,,,100070,
,,17653,,,1447,,,100185,
,,22767,,,2060,,,100093,
,,19743,,,2717,,,100012,
,,19665,,,686,,,100054,
,,21694,,,2513,,,100244,
,,23143,,,1921,,,100107,
,,17263,,,2742,,,100139,
,,17264,,,572,,,100225,
,,20108,,,2599,,,100097,
,,21789,,,2685,,,100068,
,,22257,,,2450,,,100126,
,,6392,,,2609,,,100215,
,,15908,,,2615,,,100229,
,,22936,,,901,,,100063,
,,20352,,,2369,,,100090,
,,21592,,,2036,,,100091,
,,22110,,,2104,,,100195,
,,20634,,,2654,,,100178,
,,20633,,,2572,,,100037,
,,21768,,,2161,,,100032,
,,22332,,,2528,,,100033,
,,17894,,,2504,,,100025,
,,23224,,,2583,,,100096,
,,16687,,,2709,,,100071,
,,21590,,,2655,,,100098,
,,22815,,,2743,,,100165,
,,1037,,,2487,,,100087,
,,21310,,,1882,,,100114,
,,20019,,,2295,,,100043,
,,21821,,,2515,,,100152,
,,20345,,,2617,,,100100,
,,22267,,,2645,,,100058,
,,21679,,,1974,,,100016,
,,19775,,,1991,,,100206,
,,6393,,,2225,,,100095,
,,16685,,,1248,,,100124,
,,21681,,,2547,,,100099,
,,20984,,,2589,,,100153,
,,23201,,,2613,,,100064,
,,23762,,,549,,,100010,
,,22026,,,2644,,,100029,
,,19454,,,112,,,100024,
,,20289,,,1926,,,100175,
,,18987,,,2440,,,100169,
,,22553,,,2639,,,100121,
,,20355,,,571,,,100137,
,,20508,,,2705,,,100163,
,,17566,,,2601,,,100109,
,,23723,,,2492,,,100108,
,,22106,,,2664,,,100082,
,,13783,,,2348,,,100213,
,,21731,,,2580,,,100122,
,,18093,,,2372,,,100138,
,,23729,,,2627,,,100186,
,,22263,,,2706,,,100027,
,,20001,,,2638,,,100078,
,,7695,,,1272,,,,
,,21762,,,2443,,,,
,,15703,,,1526,,,,
,,22258,,,1823,,,,
,,21790,,,863,,,,
,,17081,,,1702,,,,
,,21853,,,2509,,,,
,,18648,,,2199,,,,
,,23920,,,2681,,,,
,,19772,,,2650,,,,
,,6563,,,2522,,,,
,,22809,,,2649,,,,
,,22523,,,2534,,,,
,,23441,,,2500,,,,
,,21315,,,2278,,,,
,,22602,,,2658,,,,
,,22672,,,2446,,,,
,,9461,,,2741,,,,
,,22624,,,2303,,,,
,,20996,,,1955,,,,
,,17877,,,2481,,,,
,,18489,,,2316,,,,
,,6361,,,1946,,,,
,,20071,,,613,,,,
,,20010,,,2532,,,,
,,21882,,,2498,,,,
,,22948,,,2520,,,,
,,22288,,,153,,,,
,,20596,,,1821,,,,
,,22680,,,2640,,,,
,,21749,,,2550,,,,
,,17893,,,2707,,,,
,,22418,,,2755,,,,
,,21767,,,2505,,,,
,,23642,,,2412,,,,
,,22683,,,2597,,,,
,,22961,,,2727,,,,
,,17875,,,1161,,,,
,,20008,,,1740,,,,
,,22682,,,2729,,,,
,,18092,,,2756,,,,
,,23930,,,2551,,,,
,,21647,,,576,,,,
,,18856,,,2556,,,,
,,20093,,,2648,,,,
,,21803,,,2553,,,,
,,22677,,,2543,,,,
,,22798,,,2576,,,,
,,17747,,,2083,,,,
,,17583,,,2711,,,,
,,16688,,,2271,,,,
,,21724,,,2555,,,,
,,20273,,,2503,,,,
,,22104,,,2708,,,,
,,12000,,,2535,,,,
,,20394,,,2611,,,,
,,22116,,,2181,,,,
,,18602,,,1996,,,,
,,22461,,,2282,,,,
,,22644,,,2425,,,,
,,23650,,,2548,,,,
,,21912,,,2620,,,,
,,22813,,,2476,,,,
,,20346,,,2434,,,,
,,23170,,,2306,,,,
,,22561,,,2672,,,,
,,6397,,,2637,,,,
,,454,,,2489,,,,
,,22246,,,1401,,,,
,,5299,,,2699,,,,
,,22788,,,2610,,,,
,,21878,,,2714,,,,
,,20361,,,2242,,,,
,,22916,,,2284,,,,
,,20632,,,2307,,,,
,,1039,,,2569,,,,
,,23728,,,2565,,,,
,,380,,,2606,,,,
,,21760,,,1835,,,,
,,18934,,,1076,,,,
,,21726,,,2552,,,,
,,21248,,,768,,,,
,,16859,,,1160,,,,
,,21409,,,1809,,,,
,,22756,,,2749,,,,
,,18993,,,2686,,,,
,,22113,,,2600,,,,
,,6557,,,2713,,,,
,,20391,,,2631,,,,
,,23616,,,2725,,,,
,,23100,,,2471,,,,
,,22544,,,2153,,,,
,,21664,,,2554,,,,
,,23141,,,2738,,,,
,,21924,,,2608,,,,
,,22681,,,2570,,,,
,,22117,,,2612,,,,
,,20476,,,2544,,,,
,,22366,,,2698,,,,
,,375,,,2659,,,,
,,20277,,,394,,,,
,,20970,,,1939,,,,
,,22713,,,2700,,,,
,,21761,,,2491,,,,
,,18496,,,2557,,,,
,,22541,,,2429,,,,
,,21666,,,2421,,,,
,,23622,,,2642,,,,
,,22750,,,2428,,,,
,,12470,,,2454,,,,
,,21863,,,2660,,,,
,,21277,,,2728,,,,
,,14265,,,2663,,,,
,,21818,,,2633,,,,
,,16352,,,2607,,,,
,,19216,,,2154,,,,
,,17262,,,2009,,,,
,,22832,,,2439,,,,
,,21687,,,1637,,,,
,,22701,,,2666,,,,
,,22915,,,2533,,,,
,,22120,,,2312,,,,
,,23144,,,2591,,,,
,,21776,,,1884,,,,
,,19668,,,2397,,,,
,,23379,,,827,,,,
,,22923,,,2518,,,,
,,21831,,,2634,,,,
,,23990,,,2574,,,,
,,22920,,,2561,,,,
,,22002,,,2394,,,,
,,21715,,,2531,,,,
,,21827,,,2679,,,,
,,23401,,,2661,,,,
,,19015,,,2587,,,,
,,19986,,,1008,,,,
,,20993,,,2625,,,,
,,23018,,,1685,,,,
,,16858,,,2652,,,,
,,18094,,,2150,,,,
,,21660,,,2745,,,,
,,22993,,,550,,,,
,,22468,,,2720,,,,
,,20366,,,2740,,,,
,,23915,,,2508,,,,
,,20128,,,2510,,,,
,,456,,,2578,,,,
,,17163,,,2427,,,,
,,23730,,,2579,,,,
,,23735,,,1903,,,,
,,21612,,,2646,,,,
,,23540,,,2590,,,,
,,22114,,,2712,,,,
,,20215,,,1972,,,,
,,20009,,,2453,,,,
,,17109,,,2289,,,,
,,20995,,,2285,,,,
,,6991,,,2757,,,,
,,22702,,,2485,,,,
,,16838,,,2571,,,,
,,20213,,,1528,,,,
,,22703,,,2436,,,,
,,21980,,,2462,,,,
,,21747,,,2418,,,,
,,21706,,,1784,,,,
,,21961,,,2582,,,,
,,22757,,,2292,,,,
,,787,,,2603,,,,
,,23737,,,2643,,,,
,,21746,,,1174,,,,
,,16339,,,2435,,,,
,,21589,,,2662,,,,
,,20999,,,2614,,,,
,,18091,,,2592,,,,
,,22765,,,2250,,,,
,,21986,,,196,,,,
,,22554,,,1698,,,,
,,22141,,,2604,,,,
,,23626,,,2721,,,,
,,6558,,,1960,,,,
,,24035,,,2016,,,,
,,21685,,,2304,,,,
,,21751,,,2670,,,,
,,20385,,,1694,,,,
,,22552,,,2279,,,,
,,18854,,,2673,,,,
,,21093,,,2542,,,,
,,23016,,,2715,,,,
,,19776,,,2677,,,,
,,22516,,,2483,,,,
,,23813,,,2675,,,,
,,22487,,,2753,,,,
,,20382,,,2539,,,,
,,22108,,,2527,,,,
,,23835,,,2730,,,,
,,21250,,,2263,,,,
,,20997,,,2651,,,,
,,21822,,,1965,,,,
,,21757,,,2656,,,,
,,24041,,,1426,,,,
,,22149,,,2270,,,,
,,6616,,,1932,,,,
,,23914,,,2735,,,,
,,22193,,,2339,,,,
,,6993,,,2558,,,,
,,22769,,,2530,,,,
,,23139,,,2218,,,,
,,22823,,,832,,,,
,,22165,,,2585,,,,
,,452,,,2630,,,,
,,22994,,,2438,,,,
,,23759,,,2588,,,,
,,22092,,,2536,,,,
,,22324,,,2187,,,,
,,22118,,,2226,,,,
,,21156,,,1507,,,,
,,18311,,,2581,,,,
,,21594,,,2702,,,,
,,21772,,,2598,,,,
,,21801,,,937,,,,
,,14264,,,873,,,,
,,23999,,,2455,,,,
,,22599,,,2674,,,,
,,21682,,,2635,,,,
,,22133,,,2594,,,,
,,21617,,,2722,,,,
,,21678,,,1107,,,,
,,22952,,,2669,,,,
,,16989,,,1255,,,,
,,20214,,,2451,,,,
,,23417,,,2390,,,,
,,18858,,,2479,,,,
,,23660,,,2568,,,,
,,20560,,,2703,,,,
,,22187,,,2689,,,,
,,21739,,,2563,,,,
,,22914,,,1042,,,,
,,6398,,,2101,,,,
,,23434,,,2525,,,,
,,23721,,,2206,,,,
,,23221,,,1141,,,,
,,21155,,,1149,,,,
,,18532,,,872,,,,
,,22414,,,2687,,,,
,,22530,,,2593,,,,
,,20969,,,2501,,,,
,,18095,,,2459,,,,
,,21410,,,2719,,,,
,,20279,,,1515,,,,
,,21743,,,2605,,,,
,,20122,,,2541,,,,
,,23635,,,2678,,,,
,,23755,,,2737,,,,
,,22810,,,644,,,,
,,22514,,,2448,,,,
,,21847,,,2375,,,,
,,22814,,,2511,,,,
,,22009,,,2758,,,,
,,22755,,,2465,,,,
,,20006,,,2084,,,,
,,22007,,,,,,,
,,22090,,,,,,,
,,21764,,,,,,,
,,22939,,,,,,,
,,22633,,,,,,,
,,22611,,,,,,,
,,20365,,,,,,,
,,22816,,,,,,,
,,20477,,,,,,,
,,19143,,,,,,,
,,23647,,,,,,,
,,22189,,,,,,,
,,23561,,,,,,,
,,23172,,,,,,,
,,23368,,,,,,,
,,21894,,,,,,,
,,22684,,,,,,,
,,21832,,,,,,,
,,22261,,,,,,,
,,17661,,,,,,,
,,20003,,,,,,,
,,20005,,,,,,,
,,22937,,,,,,,
,,22924,,,,,,,
,,21196,,,,,,,
,,23754,,,,,,,
,,23168,,,,,,,
,,22161,,,,,,,
,,22820,,,,,,,
,,5296,,,,,,,
,,20635,,,,,,,
,,23138,,,,,,,
,,22951,,,,,,,
,,22686,,,,,,,
,,21566,,,,,,,
,,21836,,,,,,,
,,22822,,,,,,,
,,21234,,,,,,,
,,22331,,,,,,,
,,23625,,,,,,,
,,22191,,,,,,,
,,21273,,,,,,,
,,23163,,,,,,,
,,22371,,,,,,,
,,21561,,,,,,,
,,20148,,,,,,,
,,23194,,,,,,,
,,21913,,,,,,,
,,23204,,,,,,,
,,22742,,,,,,,
,,21278,,,,,,,
,,22950,,,,,,,
,,21653,,,,,,,
,,21401,,,,,,,
,,20011,,,,,,,
,,21869,,,,,,,
,,23553,,,,,,,
,,19421,,,,,,,
,,21591,,,,,,,
,,22614,,,,,,,
,,6559,,,,,,,
,,22745,,,,,,,
,,23709,,,,,,,
,,23639,,,,,,,
,,13644,,,,,,,
,,23712,,,,,,,
,,19592,,,,,,,
,,20015,,,,,,,
,,377,,,,,,,
,,20153,,,,,,,
,,22271,,,,,,,
,,19277,,,,,,,
,,22236,,,,,,,
,,22587,,,,,,,
,,21773,,,,,,,
,,23390,,,,,,,
,,23107,,,,,,,
,,22112,,,,,,,
,,21837,,,,,,,
,,16408,,,,,,,
,,10739,,,,,,,
,,21674,,,,,,,
,,22959,,,,,,,
,,21983,,,,,,,
,,20395,,,,,,,
,,20285,,,,,,,
,,23726,,,,,,,
,,22153,,,,,,,
,,20980,,,,,,,
,,381,,,,,,,
,,20018,,,,,,,
,,22182,,,,,,,
,,22958,,,,,,,
,,22184,,,,,,,
,,9248,,,,,,,
,,22638,,,,,,,
,,22957,,,,,,,
,,20014,,,,,,,
,,18567,,,,,,,
,,21791,,,,,,,
,,22029,,,,,,,
,,22142,,,,,,,
,,22753,,,,,,,
,,19985,,,,,,,
,,22479,,,,,,,
,,16350,,,,,,,
,,22103,,,,,,,
,,6399,,,,,,,
,,16252,,,,,,,
,,22817,,,,,,,
,,22154,,,,,,,
,,22283,,,,,,,
,,22818,,,,,,,
,,24004,,,,,,,
,,21725,,,,,,,
,,22987,,,,,,,
,,22992,,,,,,,
,,18560,,,,,,,
,,23203,,,,,,,
,,23442,,,,,,,
,,22532,,,,,,,
,,21950,,,,,,,
,,23757,,,,,,,
,,23739,,,,,,,
,,23691,,,,,,,
,,23991,,,,,,,
,,22729,,,,,,,
,,23137,,,,,,,
,,22953,,,,,,,
,,22604,,,,,,,
,,22949,,,,,,,
,,23537,,,,,,,
,,20274,,,,,,,
,,21833,,,,,,,
,,16251,,,,,,,
,,23995,,,,,,,
,,22247,,,,,,,
,,23774,,,,,,,
,,21480,,,,,,,
,,21154,,,,,,,
,,20288,,,,,,,
,,21309,,,,,,,
,,23552,,,,,,,
,,18946,,,,,,,
,,22175,,,,,,,
,,6365,,,,,,,
,,19279,,,,,,,
,,7707,,,,,,,
,,20012,,,,,,,
,,23878,,,,,,,
,,21923,,,,,,,
,,22598,,,,,,,
,,20363,,,,,,,
,,22359,,,,,,,
,,21834,,,,,,,
,,23763,,,,,,,
,,20998,,,,,,,
,,22275,,,,,,,
,,19146,,,,,,,
,,23173,,,,,,,
,,23197,,,,,,,
,,22255,,,,,,,
,,22615,,,,,,,
,,22094,,,,,,,
,,22241,,,,,,,
,,23551,,,,,,,
,,22758,,,,,,,
,,18588,,,,,,,
,,18502,,,,,,,
,,23809,,,,,,,
,,23011,,,,,,,
,,23105,,,,,,,
,,6360,,,,,,,
,,23020,,,,,,,
,,23191,,,,,,,
,,4518,,,,,,,
,,22743,,,,,,,
,,18595,,,,,,,
,,22011,,,,,,,
,,21862,,,,,,,
,,17062,,,,,,,
,,21675,,,,,,,
,,19983,,,,,,,
,,23701,,,,,,,
,,23411,,,,,,,
,,22606,,,,,,,
,,13778,,,,,,,
,,22260,,,,,,,
,,22164,,,,,,,
,,20389,,,,,,,
,,7710,,,,,,,
,,20393,,,,,,,
,,23560,,,,,,,
,,23167,,,,,,,
,,20013,,,,,,,
,,22990,,,,,,,
,,21663,,,,,,,
,,21916,,,,,,,
,,24003,,,,,,,
,,22558,,,,,,,
,,21793,,,,,,,
,,18925,,,,,,,
,,21408,,,,,,,
,,22198,,,,,,,
,,21683,,,,,,,
,,22111,,,,,,,
,,22812,,,,,,,
,,22935,,,,,,,
,,22190,,,,,,,
,,21207,,,,,,,
,,21274,,,,,,,
,,18510,,,,,,,
,,18936,,,,,,,
,,21160,,,,,,,
,,22777,,,,,,,
,,21204,,,,,,,
,,23171,,,,,,,
,,22262,,,,,,,
,,22192,,,,,,,
,,23129,,,,,,,
,,22991,,,,,,,
,,20280,,,,,,,
,,21329,,,,,,,
,,21819,,,,,,,
,,21957,,,,,,,
,,21984,,,,,,,
,,22793,,,,,,,
,,22169,,,,,,,
,,23805,,,,,,,
,,23644,,,,,,,
,,22273,,,,,,,
,,23042,,,,,,,
,,23166,,,,,,,
,,22010,,,,,,,
,,21985,,,,,,,
,,4407,,,,,,,
,,23821,,,,,,,
,,10743,,,,,,,
,,23067,,,,,,,
,,23373,,,,,,,
,,22735,,,,,,,
,,22140,,,,,,,
,,23820,,,,,,,
,,21845,,,,,,,
,,19878,,,,,,,
,,21921,,,,,,,
,,22218,,,,,,,
,,22962,,,,,,,
,,23819,,,,,,,
,,21676,,,,,,,
,,22593,,,,,,,
,,23994,,,,,,,
,,18953,,,,,,,
,,22760,,,,,,,
,,22300,,,,,,,
,,21684,,,,,,,
,,17709,,,,,,,
,,21662,,,,,,,
,,21841,,,,,,,
,,21610,,,,,,,
,,22105,,,,,,,
,,21247,,,,,,,
,,14983,,,,,,,
,,22562,,,,,,,
,,21411,,,,,,,
,,21564,,,,,,,
,,20384,,,,,,,
,,22174,,,,,,,
,,19666,,,,,,,
,,22741,,,,,,,
,,22322,,,,,,,
,,23150,,,,,,,
,,21991,,,,,,,
,,17755,,,,,,,
,,23823,,,,,,,
,,20173,,,,,,,
,,23873,,,,,,,
,,20151,,,,,,,
,,21792,,,,,,,
,,23002,,,,,,,
,,21677,,,,,,,
,,22492,,,,,,,
,,21922,,,,,,,
,,23758,,,,,,,
,,19748,,,,,,,
,,16841,,,,,,,
,,22607,,,,,,,
,,21844,,,,,,,
,,22272,,,,,,,
,,18574,,,,,,,
,,22687,,,,,,,
,,16204,,,,,,,
,,23827,,,,,,,
,,22292,,,,,,,
,,22715,,,,,,,
,,16406,,,,,,,
,,21771,,,,,,,
,,23206,,,,,,,
,,20750,,,,,,,
,,17706,,,,,,,
,,22166,,,,,,,
,,8994,,,,,,,
,,23646,,,,,,,
,,13643,,,,,,,
,,22244,,,,,,,
,,23934,,,,,,,
,,22306,,,,,,,
,,6560,,,,,,,
,,20966,,,,,,,
,,6990,,,,,,,
,,23164,,,,,,,
,,21814,,,,,,,
,,21672,,,,,,,
,,23015,,,,,,,
,,21680,,,,,,,
,,23468,,,,,,,
,,23693,,,,,,,
,,23738,,,,,,,
,,22746,,,,,,,
,,23764,,,,,,,
,,23017,,,,,,,
,,21820,,,,,,,
,,16342,,,,,,,
,,23125,,,,,,,
,,22736,,,,,,,
,,22316,,,,,,,
,,22224,,,,,,,
,,20744,,,,,,,
,,23822,,,,,,,
,,21996,,,,,,,
,,23394,,,,,,,
,,24036,,,,,,,
,,21559,,,,,,,
,,21276,,,,,,,
,,21972,,,,,,,
,,21975,,,,,,,
,,23324,,,,,,,
,,23048,,,,,,,
,,23142,,,,,,,
,,21723,,,,,,,
,,22988,,,,,,,
,,9236,,,,,,,
,,23014,,,,,,,
,,12026,,,,,,,
,,20282,,,,,,,
,,21745,,,,,,,
,,19197,,,,,,,
,,22504,,,,,,,
,,22308,,,,,,,
,,21689,,,,,,,
,,10289,,,,,,,
,,21917,,,,,,,
,,21830,,,,,,,
,,20743,,,,,,,
,,22954,,,,,,,
,,22707,,,,,,,
,,22304,,,,,,,
,,16407,,,,,,,
,,17863,,,,,,,
,,23174,,,,,,,
,,15388,,,,,,,
,,21981,,,,,,,
,,20619,,,,,,,
,,23371,,,,,,,
,,18546,,,,,,,
,,22744,,,,,,,
,,19597,,,,,,,
,,22167,,,,,,,
,,24037,,,,,,,
,,22107,,,,,,,
,,22933,,,,,,,
,,23618,,,,,,,
,,22989,,,,,,,
,,23651,,,,,,,
,,21688,,,,,,,
,,22955,,,,,,,
,,13779,,,,,,,
,,21624,,,,,,,
,,21158,,,,,,,
,,22800,,,,,,,
,,22895,,,,,,,
,,21697,,,,,,,
,,21729,,,,,,,
,,19870,,,,,,,
,,23169,,,,,,,
,,18920,,,,,,,
,,16340,,,,,,,
,,23950,,,,,,,
,,23817,,,,,,,
,,17573,,,,,,,
,,22313,,,,,,,
,,23111,,,,,,,
,,22600,,,,,,,
,,6401,,,,,,,
,,23741,,,,,,,
,,22595,,,,,,,
,,22172,,,,,,,
,,23814,,,,,,,
,,23655,,,,,,,
,,21876,,,,,,,
,,6362,,,,,,,
,,23643,,,,,,,
,,22242,,,,,,,
,,23904,,,,,,,
,,23536,,,,,,,
,,21775,,,,,,,
,,22796,,,,,,,
,,21781,,,,,,,
,,22335,,,,,,,
,,22196,,,,,,,
,,21200,,,,,,,
,,23899,,,,,,,
,,21571,,,,,,,
,,23091,,,,,,,
,,7701,,,,,,,
,,13780,,,,,,,
,,20360,,,,,,,
,,20387,,,,,,,
,,22739,,,,,,,
,,22156,,,,,,,
,,21828,,,,,,,
,,22350,,,,,,,
,,6366,,,,,,,
,,18458,,,,,,,
,,22768,,,,,,,
,,22797,,,,,,,
,,19276,,,,,,,
,,23921,,,,,,,
,,20271,,,,,,,
,,21195,,,,,,,
,,19982,,,,,,,
,,20272,,,,,,,
,,23050,,,,,,,
,,22763,,,,,,,
,,16934,,,,,,,
,,19215,,,,,,,
,,22803,,,,,,,
,,22947,,,,,,,
,,22490,,,,,,,
,,23675,,,,,,,
,,21249,,,,,,,
,,23997,,,,,,,
,,17234,,,,,,,
,,18599,,,,,,,
,,23657,,,,,,,
,,21555,,,,,,,
,,22560,,,,,,,
,,19984,,,,,,,
,,22025,,,,,,,
,,21327,,,,,,,
,,20396,,,,,,,
,,13781,,,,,,,
,,24040,,,,,,,
,,23199,,,,,,,
,,22605,,,,,,,
,,12472,,,,,,,
,,23988,,,,,,,
,,20386,,,,,,,
,,22225,,,,,,,
,,21477,,,,,,,
,,17586,,,,,,,
,,21628,,,,,,,
,,20048,,,,,,,
,,21700,,,,,,,
,,22238,,,,,,,
,,23685,,,,,,,
,,23900,,,,,,,
,,22137,,,,,,,
,,21316,,,,,,,
,,22158,,,,,,,
,,20016,,,,,,,
,,22188,,,,,,,
,,24043,,,,,,,
,,22006,,,,,,,
,,21640,,,,,,,
,,23924,,,,,,,
,,23424,,,,,,,
,,20397,,,,,,,
,,20295,,,,,,,
,,22278,,,,,,,
,,19951,,,,,,,
,,21734,,,,,,,
,,12477,,,,,,,
,,21239,,,,,,,
,,23867,,,,,,,
,,23724,,,,,,,
,,18553,,,,,,,
,,20287,,,,,,,
,,21738,,,,,,,
,,23630,,,,,,,
,,23205,,,,,,,
,,21965,,,,,,,
,,18861,,,,,,,
,,22749,,,,,,,
,,22469,,,,,,,
,,23714,,,,,,,
,,21135,,,,,,,
,,16071,,,,,,,
,,22411,,,,,,,
,,22195,,,,,,,
,,13777,,,,,,,
,,22491,,,,,,,
,,22159,,,,,,,
,,21654,,,,,,,
,,18581,,,,,,,
,,22178,,,,,,,
,,23818,,,,,,,
,,22400,,,,,,,
,,21558,,,,,,,
,,24000,,,,,,,
,,22305,,,,,,,
,,20077,,,,,,,
,,21567,,,,,,,
,,18503,,,,,,,
,,23652,,,,,,,
,,22547,,,,,,,
,,21328,,,,,,,
,,22021,,,,,,,
,,23699,,,,,,,
,,22148,,,,,,,
,,22289,,,,,,,
,,22592,,,,,,,
,,19196,,,,,,,
,,23656,,,,,,,
,,22157,,,,,,,
,,19591,,,,,,,
,,21626,,,,,,,
,,13782,,,,,,,
,,21778,,,,,,,
,,22641,,,,,,,
,,21829,,,,,,,
,,22658,,,,,,,
,,23670,,,,,,,
,,21476,,,,,,,
,,22291,,,,,,,
,,23406,,,,,,,
,,22819,,,,,,,
,,22785,,,,,,,
,,22008,,,,,,,
,,14202,,,,,,,
,,22773,,,,,,,
,,22850,,,,,,,
,,21860,,,,,,,
,,22877,,,,,,,
,,21235,,,,,,,
,,22603,,,,,,,
,,22312,,,,,,,
,,21892,,,,,,,
,,21891,,,,,,,
,,23057,,,,,,,
,,23654,,,,,,,
,,23658,,,,,,,
,,21838,,,,,,,
,,23898,,,,,,,
,,21703,,,,,,,
,,21593,,,,,,,
,,15700,,,,,,,
,,21652,,,,,,,
,,24006,,,,,,,
,,16263,,,,,,,
,,21400,,,,,,,
,,21627,,,,,,,
,,22804,,,,,,,
,,22821,,,,,,,
,,22668,,,,,,,
,,22023,,,,,,,
,,18475,,,,,,,
,,23905,,,,,,,
,,23202,,,,,,,
,,22028,,,,,,,
,,23992,,,,,,,
,,20170,,,,,,,
,,22496,,,,,,,
,,22913,,,,,,,
,,22588,,,,,,,
,,22152,,,,,,,
,,19631,,,,,,,
,,22458,,,,,,,
,,22919,,,,,,,
,,22808,,,,,,,
,,21557,,,,,,,
,,22109,,,,,,,
,,1278,,,,,,,
,,20143,,,,,,,
,,23640,,,,,,,
,,15540,,,,,,,
,,23012,,,,,,,
,,22146,,,,,,,
,,21619,,,,,,,
,,22575,,,,,,,
,,23196,,,,,,,
,,22590,,,,,,,
,,21998,,,,,,,
,,11323,,,,,,,
,,22578,,,,,,,
,,22784,,,,,,,
,,23742,,,,,,,
,,21914,,,,,,,
,,22298,,,,,,,
,,15006,,,,,,,
,,21632,,,,,,,
,,23688,,,,,,,
,,21661,,,,,,,
,,21620,,,,,,,
,,23045,,,,,,,
,,23816,,,,,,,
,,17170,,,,,,,
,,12471,,,,,,,
,,22173,,,,,,,
,,8995,,,,,,,
,,6402,,,,,,,
,,21951,,,,,,,
,,21631,,,,,,,
,,22791,,,,,,,
,,21629,,,,,,,
,,21993,,,,,,,
,,22160,,,,,,,
,,23883,,,,,,,
,,22799,,,,,,,
,,22956,,,,,,,
,,22925,,,,,,,
,,22197,,,,,,,
,,7713,,,,,,,
,,23933,,,,,,,
,,22327,,,,,,,
,,17758,,,,,,,
,,22270,,,,,,,
,,23415,,,,,,,
