click,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,day_0,day_1,day_2,day_3,day_4,day_5,day_6,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
0,345995,259883,138225,624751,372431,350208,458689,836955,725226,772814,763844,259883,564428,983438,248116,986963,50602,564428,479378,53283,49415,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,345995,259883,882473,986835,372431,350208,458689,836955,725226,729854,602446,259883,564428,194783,803942,807057,217045,631216,59627,70588,282545,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,246871,143941,372431,350208,458689,836955,725226,253264,102268,259883,564428,978418,248116,986963,756771,259883,939892,328281,991672,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,345995,564428,486317,900909,196941,350208,458689,836955,725226,276810,377282,259883,564428,3088,248116,986963,430693,631216,359276,849033,546470,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,259883,830985,480398,326240,350208,458689,836955,725226,353468,377282,259883,564428,898368,248116,986963,489959,702779,939892,328281,943842,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,486317,900909,196941,350208,458689,836955,725226,939280,763844,259883,564428,916401,248116,986963,66602,564428,282545,328281,224261,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,173794,564428,550661,964007,815315,350208,458689,836955,398254,309980,530794,564428,564428,939936,248116,986963,294151,631216,939892,328281,991672,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,259883,137268,220312,326240,350208,458689,836955,725226,732325,141179,259883,564428,855456,248116,986963,30085,564428,14792,328281,391079,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,486317,900909,196941,350208,458689,836955,725226,697535,437373,259883,564428,670178,248116,986963,230793,564428,479378,328281,49415,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,345995,259883,259110,229118,326240,350208,458689,836955,725226,557583,705088,259883,564428,368798,248116,986963,610143,631216,939892,328281,991672,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,345995,564428,928145,966458,372431,350208,458689,836955,725226,409795,52444,259883,564428,388812,1919,515431,754242,631216,282545,233049,943842,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,259883,882473,986835,372431,350208,458689,836955,725226,885078,392797,259883,564428,20869,248116,986963,946226,631216,939892,103976,991672,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,345995,259883,138225,624751,372431,350208,458689,836955,725226,173609,763844,259883,564428,781409,248116,986963,922170,564428,939892,314736,49415,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,429460,964007,815315,593007,535383,158179,725226,94024,402011,259883,564428,147320,248116,986963,987033,702779,939892,328281,943842,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,345995,564428,486317,900909,196941,350208,458689,836955,725226,792079,377282,259883,564428,218015,248116,986963,681505,564428,282545,328281,49415,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,486317,900909,196941,350208,458689,836955,725226,807796,437373,259883,564428,336367,248116,986963,66602,564428,282545,849033,224261,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,173794,564428,905526,964007,815315,350208,458689,836955,398254,309980,931720,564428,564428,79938,248116,986963,144008,631216,939892,328281,991672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,486317,900909,196941,350208,458689,836955,725226,516653,377282,259883,564428,3088,248116,986963,430693,631216,359276,328281,546470,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,486317,900909,196941,350208,458689,836955,725226,637517,921716,259883,564428,916401,248116,986963,66602,564428,282545,929369,224261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,345995,259883,736949,155937,196941,350208,458689,836955,725226,432081,935979,259883,631216,453056,248116,986963,695522,702779,939892,864016,943842,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,259883,882473,986835,372431,350208,458689,836955,725226,129581,796736,259883,564428,527943,248116,986963,161761,631216,939892,103976,991672,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,345995,564428,429460,964007,815315,276344,971226,974780,946705,67065,141179,259883,564428,898368,248116,986963,489959,702779,939892,328281,943842,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,345995,564428,721269,113616,196941,350208,458689,836955,725226,379151,385027,259883,564428,476222,248116,986963,69926,702779,939892,328281,943842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,345995,259883,414751,978909,196941,350208,458689,836955,725226,531670,689923,259883,631216,934869,248116,986963,681505,564428,939892,328281,49415,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,922648,811451,326240,350208,458689,836955,725226,78929,533251,259883,564428,454321,248116,986963,149804,702779,939892,328281,943842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,429460,964007,815315,802562,845683,974780,725226,93383,951569,259883,564428,359168,248116,986963,527750,564428,218808,328281,957983,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,345995,564428,273353,563484,119901,350208,458689,836955,725226,575865,979103,259883,564428,83114,248116,986963,50868,564428,282545,328281,224261,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,486317,900909,196941,350208,458689,836955,725226,920471,968867,259883,564428,731521,248116,986963,203090,564428,282545,849033,482124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,345995,564428,955002,35069,180617,350208,458689,836955,725226,178769,525930,259883,564428,689731,248116,986963,217639,564428,441968,328281,897376,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,345995,564428,486317,900909,196941,350208,458689,836955,725226,73534,763844,259883,564428,782431,248116,986963,66602,564428,282545,328281,224261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,345995,259883,246871,368606,372431,350208,458689,836955,725226,532318,519482,259883,564428,51245,248116,986963,987033,702779,939892,263599,943842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,345995,564428,429460,964007,815315,423728,887100,318934,725226,199626,772711,259883,564428,702958,248116,986963,690563,702779,939892,328281,943842,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,128595,690529,372431,350208,458689,836955,725226,124993,908912,259883,564428,278851,248116,986963,602229,564428,978308,314736,391079,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,345995,564428,778964,480575,372431,350208,458689,836955,725226,84346,730620,259883,564428,645954,248116,986963,745612,702779,230046,70588,811872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,345995,259883,173905,123122,372431,350208,458689,836955,725226,716683,377282,259883,564428,307640,248116,986963,644268,631216,479378,397774,943842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,429460,690529,815315,350208,535383,836955,989064,31143,4811,259883,564428,278851,248116,986963,926137,564428,903541,368037,979506,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,345995,564428,429460,964007,815315,610881,535383,261803,725226,404509,854013,259883,564428,12595,248116,986963,840591,564428,282545,328281,340735,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,429460,964007,815315,615344,535383,261803,725226,315827,985716,259883,564428,51245,248116,986963,294151,702779,939892,328281,991672,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,905751,191494,372431,350208,458689,836955,725226,193009,675270,259883,564428,318707,248116,986963,756771,259883,441968,849033,897376,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,345995,564428,486317,900909,196941,350208,458689,836955,725226,877534,763844,259883,564428,782431,248116,986963,66602,564428,282545,849033,224261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,345995,259883,834793,316113,372431,350208,458689,836955,725226,199734,763844,259883,564428,88716,248116,986963,123895,564428,870086,314736,974043,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,345995,564428,429460,964007,815315,423728,887100,318934,725226,380854,947019,259883,564428,527943,248116,986963,690563,631216,939892,103976,991672,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,361207,702644,326240,350208,458689,836955,725226,838580,429140,259883,564428,46210,1919,515431,749395,702779,124629,233049,447190,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,85427,127754,196941,350208,458689,836955,725226,211621,181067,259883,564428,566259,248116,986963,204859,702779,282545,988834,921291,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0,345995,564428,429460,964007,815315,736549,535383,318934,194819,553161,433797,259883,631216,94822,1919,515431,30085,564428,939892,328281,340735,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,378579,522919,372431,350208,458689,836955,725226,980247,377282,259883,564428,190209,248116,986963,962167,702779,479378,328281,943842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,345995,259883,402323,258170,372431,350208,458689,836955,725226,309898,705088,259883,564428,368798,248116,986963,610143,631216,939892,383751,991672,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,259883,882473,986835,372431,350208,458689,836955,725226,981871,884334,259883,564428,130674,248116,986963,109377,631216,939892,103976,943842,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,195965,718810,372431,350208,458689,836955,725226,146963,965360,259883,564428,860684,248116,986963,849051,564428,972575,383751,391079,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,173794,564428,239689,565850,815315,350208,458689,836955,167819,980249,373722,564428,564428,689911,248116,986963,76666,631216,939892,328281,108916,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,259883,343534,368606,372431,350208,458689,836955,725226,404811,407562,259883,564428,466064,248116,986963,922170,564428,479378,383751,49415,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,345995,259883,671706,986835,372431,350208,458689,836955,725226,183952,527775,259883,564428,241240,248116,986963,242981,702779,124629,789176,447190,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,351888,259883,429460,964007,815315,943181,880694,318934,725226,38660,733826,905210,564428,433586,248116,986963,289146,702779,270568,328281,943842,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,429460,964007,815315,462940,845683,318934,725226,753208,680039,259883,631216,77503,248116,986963,121569,259883,485783,118285,203171,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,259883,882473,986835,372431,350208,458689,836955,725226,253612,429140,259883,564428,870799,248116,986963,215368,702779,939892,328281,943842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,345995,564428,141904,431495,372431,350208,458689,836955,725226,661559,522256,259883,564428,352739,248116,986963,30085,564428,939892,328281,340735,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,475763,564428,429460,964007,815315,356901,458689,836955,888010,868212,693136,259883,631216,168088,248116,986963,564660,631216,30617,136287,17961,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,579086,702644,326240,350208,458689,836955,725226,724762,968867,259883,564428,440870,1919,515431,777868,631216,939892,328281,218808,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,345995,259883,98850,109852,372431,350208,458689,836955,725226,723211,558384,259883,564428,436199,248116,986963,849051,564428,972575,383751,391079,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,345995,564428,429460,964007,815315,717911,535383,318934,725226,956367,884334,259883,702779,868852,248116,986963,8217,702779,282545,328281,848925,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,259883,137268,220312,372431,350208,458689,836955,725226,257436,141179,259883,564428,162413,248116,807057,30085,702779,939892,328281,943842,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,173794,564428,923234,944889,815315,350208,458689,836955,403773,587192,683814,564428,564428,509167,248116,986963,394979,702779,939892,314736,943842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,429460,964007,815315,593007,535383,261803,725226,955592,400262,259883,564428,66376,248116,986963,25652,564428,282545,328281,49415,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,429460,964007,815315,462940,845683,318934,725226,746420,771017,259883,702779,943233,248116,986963,121569,564428,779763,118285,203171,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,486317,900909,196941,350208,458689,836955,725226,924490,305472,259883,564428,336367,248116,986963,66602,564428,282545,929369,224261,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,486317,900909,196941,350208,458689,836955,725226,507789,431707,259883,564428,336367,248116,986963,66602,564428,282545,328281,224261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,361207,702644,326240,350208,458689,836955,725226,158437,377282,259883,564428,14079,1919,515431,148529,631216,939892,328281,218808,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,345995,564428,429460,964007,815315,615344,535383,158179,725226,969918,634586,259883,631216,782431,248116,986963,66602,564428,282545,328281,224261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,345995,564428,429460,964007,815315,276344,971226,974780,464502,140061,332833,259883,631216,71028,248116,986963,529564,702779,359276,103976,128466,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,259883,736949,155937,196941,350208,458689,836955,725226,689276,29014,259883,564428,432620,803942,807057,840591,564428,282545,328281,340735,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,110763,167269,372431,350208,458689,836955,725226,638821,705088,259883,564428,468798,248116,986963,149804,702779,939892,914275,943842,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,579086,702644,326240,350208,458689,836955,725226,554982,141179,259883,564428,76326,1919,515431,777868,631216,939892,849033,218808,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,345995,564428,429460,964007,815315,783783,323528,974780,725226,904510,308825,259883,564428,318989,248116,986963,701300,702779,230046,789176,447190,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,486317,900909,196941,350208,458689,836955,725226,69345,763844,259883,564428,452593,248116,986963,681505,564428,282545,328281,49415,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,173794,564428,905526,964007,815315,350208,458689,836955,201903,628668,931720,564428,564428,79938,248116,986963,651847,702779,939892,70588,943842,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,905751,191494,372431,350208,458689,836955,725226,709922,377282,259883,564428,898368,248116,986963,489959,702779,939892,201154,943842,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,173794,564428,923234,944889,815315,350208,458689,836955,933336,587192,235548,564428,564428,509167,1919,986963,394979,702779,939892,383751,943842,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,173794,564428,317317,754772,815315,350208,458689,836955,876344,662375,790083,564428,564428,753664,248116,986963,611725,702779,386058,328281,447190,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,486317,900909,196941,350208,458689,836955,725226,563839,76667,259883,631216,336367,248116,986963,66602,564428,282545,849033,224261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,259883,882473,986835,372431,350208,458689,836955,725226,578168,749063,259883,564428,20869,248116,986963,161761,631216,939892,328281,991672,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,429460,964007,815315,423728,887100,318934,725226,523956,921716,259883,564428,527943,248116,986963,161761,702779,939892,328281,943842,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,345995,564428,429460,964007,815315,925661,535383,318934,725226,486798,464443,259883,564428,225408,248116,986963,394758,564428,282545,328281,340735,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,259883,834793,316113,372431,350208,458689,836955,725226,536958,126319,259883,564428,88716,248116,986963,123895,564428,870086,233049,974043,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,173794,564428,429460,964007,815315,554506,458689,836955,196127,570013,790083,564428,564428,58640,248116,986963,651847,564428,12606,70588,922524,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,259883,110763,167269,372431,350208,458689,836955,725226,638821,377282,259883,564428,898368,248116,986963,149804,702779,939892,328281,943842,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,259883,858068,277844,372431,350208,458689,836955,725226,34920,884334,259883,564428,527943,248116,986963,161761,631216,939892,314736,991672,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1,345995,564428,138225,624751,372431,350208,458689,836955,725226,782870,763844,259883,564428,190209,248116,986963,962167,702779,479378,383751,943842,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,429460,964007,815315,581604,805849,318934,725226,934563,687688,259883,564428,169626,248116,986963,341428,564428,779763,516906,875755,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,345995,564428,429460,964007,815315,423728,887100,318934,598892,415853,693757,259883,564428,527943,248116,986963,161761,631216,939892,103976,991672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,345995,564428,361207,702644,326240,350208,458689,836955,725226,158437,377282,259883,564428,14079,1919,515431,148529,631216,939892,864016,218808,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,345995,259883,498354,424630,372431,350208,458689,836955,725226,763998,377282,259883,564428,307640,248116,986963,644268,631216,479378,136755,943842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,345995,259883,882473,986835,372431,350208,458689,836955,725226,34920,884334,259883,564428,527943,248116,986963,161761,631216,939892,103976,991672,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,429460,964007,815315,891221,880694,318934,725226,589309,377282,259883,564428,225408,248116,986963,394758,564428,282545,328281,340735,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
